test_key,short,q,theta,n_min_tail,n_max,margin_normalized_delta_r,risk_margin
wilcoxon,Wilcoxon,1,0.6454545454545454,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.6613636363636363,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.6772727272727272,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.6931818181818181,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.709090909090909,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.725,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.7409090909090909,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.7568181818181817,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.7727272727272727,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.7886363636363636,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.8045454545454545,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.8204545454545454,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.8363636363636363,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.8522727272727272,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.8681818181818182,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.884090909090909,8513147,10000000,1.0,0.0025
wilcoxon,Wilcoxon,1,0.9,8513147,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0039854318080063,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.005018276804993,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0063187888551852,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.007956335241748,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0100182601333695,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0126145433859082,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0158836666962689,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.02,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.025,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0409090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0568181818181818,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0727272727272727,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.0886363636363636,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.1045454545454545,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.1204545454545454,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.1363636363636363,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.1522727272727272,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.1681818181818181,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.184090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.1999999999999999,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.2159090909090908,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.2318181818181817,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.2477272727272727,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.2636363636363636,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.2795454545454545,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.2954545454545454,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.3113636363636363,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.3272727272727272,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.3431818181818181,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.359090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.375,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.3909090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.4068181818181818,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.4227272727272727,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.4386363636363636,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.4545454545454545,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.4704545454545454,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.4863636363636363,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.5022727272727272,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.5181818181818181,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.5340909090909091,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.5499999999999999,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.5659090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.5818181818181818,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.5977272727272727,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.6136363636363636,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.6295454545454545,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.6454545454545454,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.6613636363636363,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.6772727272727272,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.6931818181818181,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.709090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.725,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.7409090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.7568181818181817,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.7727272727272727,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.7886363636363636,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.8045454545454545,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.8204545454545454,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.8363636363636363,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.8522727272727272,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.8681818181818182,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.884090909090909,10000000,10000000,1.0,0.0025
mannwhitney,Mann-Whitney,1,0.9,10000000,10000000,1.0,0.0025
